#id;begin_inter;end_inter;length;width;height;typo
340;679;657;99.6963473438;8;9.3;0
341;609;682;166.602116427;7.5;6.9;0
342;683;659;168.850267358;7.5;6.9;0
343;650;683;100.171765901;7.5;6.9;0
344;687;666;75.5244754082;7.5;6.9;0
346;687;692;277.199658105;7.5;6.9;0
347;692;677;18.9680630306;7.5;6.9;0
349;697;659;81.4342900377;8;9.3;0
350;699;700;46.107192063;13;6.9;0
351;701;683;56.4636812975;7.5;6.9;0
353;701;668;100.530608551;7.5;6.9;0
355;709;679;100.075899245;7.5;6.9;0
357;709;614;221.624536709;7.5;6.9;0
359;717;709;29.475231471;7.5;6.9;0
361;683;722;62.2117461634;7.5;6.9;0
362;723;687;73.7461525402;7.5;6.9;0
364;727;701;159.461347948;7.5;6.9;0
366;668;727;148.660613568;7.5;6.9;0
367;733;677;148.530453011;7.5;6.9;0
368;735;692;71.2957135043;7.5;6.9;0
370;735;740;78.8719233093;7.5;6.9;0
372;717;744;65.2322255613;7.5;6.9;0
373;745;723;33.8925661804;7.5;6.9;0
375;735;745;195.090258726;7.5;6.9;0
376;751;733;57.6767681279;7.5;6.9;0
378;682;751;113.039997869;8;8.1;0
379;757;733;67.1590576033;7.5;6.9;0
380;759;745;57.4100364806;7.5;6.9;0
382;759;757;261.857831527;7.5;6.9;0
383;775;679;148.870958518;8;9.3;0
385;775;727;127.396590729;7.5;6.9;0
387;744;774;89.7299790615;13;6.9;0
388;775;776;55.7272625002;11;5.5;0
390;700;780;47.5514977296;7.5;6.9;0
391;781;759;51.4124382878;7.5;6.9;0
393;757;781;260.30462371;7.5;6.9;0
394;787;788;198.794513949;7.5;6.9;0
395;788;790;110.010882372;8;7.9;0
396;791;787;73.3406360377;7.5;6.9;0
397;751;794;100.713420859;8;8.1;0
398;794;791;51.3311214351;7.5;6.9;0
400;799;781;63.7724993412;7.5;6.9;0
402;803;781;45.347085039;7.5;6.9;0
404;775;808;175.105680122;10;6.5;0
405;808;810;187.267016312;7.5;6.9;0
406;811;803;17.878612956;7.5;6.9;0
408;811;794;324.064445137;7.5;6.9;0
409;794;818;55.7272625002;8;8.1;0
410;819;820;25.4922046814;41;10.2;0
411;821;822;108.510256523;7.5;6.9;0
412;818;824;161.329795167;7.5;6.9;0
413;825;808;61.3841682018;7.5;6.9;0
415;829;803;77.1173864809;7.5;6.9;0
417;833;811;51.3502560728;7.5;6.9;0
419;824;833;150.526972788;7.5;6.9;0
420;839;822;38.8632226642;7.5;6.9;0
422;839;844;129.319788227;10;8.3;0
423;845;791;209.662794761;7.5;6.9;0
424;845;788;122.798358381;8;7.9;0
425;849;850;149.558020383;7.5;6.9;0
426;849;852;47.3098891646;7.5;6.9;0
428;855;845;177.261997605;7.5;6.9;0
429;822;855;115.671210035;7.5;6.9;0
430;859;860;105.751530228;7.5;6.9;0
432;863;855;25.2324377801;7.5;6.9;0
433;863;839;109.983024131;10;8.3;0
434;867;868;206.491758652;7.5;6.9;0
435;775;870;323.938490292;23;8.6;0
436;871;819;190.021459394;41;10.2;0
437;870;874;115.921246965;45;3;0
438;824;876;143.373705929;7.5;6.9;0
439;877;833;167.248514329;7.5;6.9;0
441;881;863;58.1945632983;10;8.3;0
443;818;886;177.071662555;8;8.1;0
444;887;863;129.459726166;7.5;6.9;0
445;887;850;184.92318975;10;7.3;0
447;893;894;49.8711303955;7.5;6.9;0
449;893;898;89.357114815;8;7.9;0
450;877;876;121.671871975;7.5;6.9;0
451;886;902;36.3437318391;8;8.1;0
452;855;904;79.0910747727;7.5;6.9;0
454;907;904;39.7786828555;10;8.3;0
456;911;887;44.1408301268;10;7.3;0
458;915;887;100.892328796;7.5;6.9;0
460;915;849;138.636938153;7.5;6.9;0
462;876;924;67.7057087143;7.5;6.9;0
463;924;902;110.841137858;7.5;6.9;0
464;927;893;50.004954725;8;7.9;0
465;927;930;94.8563739277;7.5;6.9;0
467;930;907;26.1361892719;10;8.3;0
469;902;938;170.979235972;8;8.1;0
470;939;927;15.2954877969;8;7.9;0
471;941;939;96.7393015409;7.5;6.9;0
473;945;877;71.5402825766;7.5;6.9;0
475;945;924;97.4759469503;7.5;6.9;0
476;951;907;56.2217382824;7.5;6.9;0
477;953;945;43.6426764931;7.5;6.9;0
478;955;951;171.014338768;7.5;6.9;0
480;955;911;102.37776051;10;7.3;0
482;963;964;17.1882710015;8;7.9;0
483;963;930;112.940091543;10;8.3;0
485;969;874;86.0529172191;7.5;6.9;0
487;973;963;25.7811829843;10;8.3;0
489;977;868;107.538396153;41;8.6;0
491;981;973;30.5759462858;10;8.3;0
493;985;945;178.537180076;7.5;6.9;0
495;902;985;199.788667394;7.5;6.9;0
496;985;938;112.955651629;7.5;6.9;0
498;995;951;115.223296145;7.5;6.9;0
499;997;998;31.5613822329;7.5;6.9;0
501;997;981;100.385313096;7.5;6.9;0
502;1003;995;130.598193896;7.5;6.9;0
504;1007;981;81.7421583024;10;8.3;0
506;1011;1003;53.0036615178;7.5;6.9;0
508;1011;955;121.005269653;10;7.3;0
510;1019;1011;90.7100686456;7.5;6.9;0
512;1023;1024;28.3632608492;7.5;6.9;0
513;1023;995;119.182976957;7.5;6.9;0
514;985;1028;149.269024469;7.5;6.9;0
515;1029;997;128.715145147;7.5;6.9;0
516;1029;1007;113.567934917;10;8.3;0
518;1035;985;200.882911042;7.5;6.9;0
520;938;1035;163.987475606;8;8.1;0
521;1041;1035;42.3660401242;7.5;6.9;0
523;1041;1029;61.5501493343;10;8.3;0
525;1049;1041;90.9483127439;7.5;6.9;0
527;1024;1049;186.882201784;7.5;6.9;0
528;1055;1049;104.408889448;7.5;6.9;0
530;1055;1023;194.875645008;7.5;6.9;0
531;1061;1062;58.0883014984;7.5;6.9;0
533;1062;1066;49.2374763577;10;7.3;0
534;1067;1055;132.537700337;7.5;6.9;0
536;1003;1067;338.633529204;7.5;6.9;0
537;1073;1067;68.9355786085;7.5;6.9;0
540;1066;1073;24.1861529489;10;7.3;0
541;1081;1073;40.25189462;7.5;6.9;0
543;1085;1081;23.5341903788;7.5;6.9;0
545;125;93;24.9937794454;7.5;6.9;0
547;1093;109;110.33450416;7.5;6.9;0
549;460;1098;89.2661416803;7.5;6.9;0
551;187;451;65.1675329775;7.5;6.9;0
553;273;187;51.2449271488;7.5;6.9;0
555;290;279;100.52451207;7.5;6.9;0
557;1113;279;83.3116605912;7.5;6.9;0
559;488;290;118.809922912;7.5;6.9;0
561;494;488;28.2432112561;7.5;6.9;0
563;506;494;26.8690374447;7.5;6.9;0
565;336;506;36.162249463;7.5;6.9;0
567;1133;339;73.3571626606;7.5;6.9;0
568;1135;339;19.3786640638;8.5;6.9;0
570;482;336;66.4373467112;7.5;6.9;0
572;334;482;101.139202841;7.5;6.9;0
573;522;1135;45.1344212766;8.5;6.9;0
575;371;515;18.3576491477;7.5;6.9;0
577;1153;371;78.7798820901;7.5;6.9;0
579;560;1153;71.5117422047;7.5;6.9;0
581;403;560;36.3298420088;7.5;6.9;0
583;577;403;91.3915837559;7.5;6.9;0
