# species, molecular weight (g/mol), speciation for each SNAP.
#Name	molecular_mass	10100	10200	10300	10500	20100	20200	20300	30100	30200	30300	40100	40200	40400	40500	40600	50200	50400	50500	50600	60100	60200	60300	60400	70101	70102	70103	70104	70201	70202	70301	70302	704	705	70601	70602	70603	80200	80300	80500	80600	80700	80800	80900	90200	90400	100100	100200	100500
1DECEN	 140	0.3      0.3    0.3    0.3    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1E2POL	 104	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.3      0.3      0.3     0.3     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1E2PAC	 146	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1E3MCH	 126	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.3      0.3      0.3     0.3     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1E4MCH	 126	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1HPTEN	 98	0.4      0.4    0.4    0.4    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1HXENE	 84	0.4      0.4    0.4    0.4    1.5    1.5    1.5   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1M2EOL	 76	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1M2POL	 90	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.4      0.4      0.4     0.4     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1M2PAC	 132	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.2      0.2      0.2     0.2     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1M3PBZ	 134	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.2      0.2      0.2     0.2     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
