#	O3	NO2	NO
2014-04-01_11	73	22	5.54
2014-04-01_12	88	12	2.28
2014-04-01_13	92	12	1.63
2014-04-01_14	96.5	11	1.63
2014-04-01_15	101	10.5	0.98
2014-04-01_16	100	13.5	1.30
2014-04-01_17	99.5	14	1.30
2014-04-01_18	82.5	27.5	1.63
2014-04-01_19	57.5	46	2.61
2014-04-01_20	45	53.5	2.61
2014-04-01_21	47	51.5	7.83
2014-04-01_22	55	42.5	1.63
2014-04-01_23	66.5	31	0.65
2014-04-02_00	60.5	33	0.98
2014-04-02_01	59.5	29.5	0.65
2014-04-02_02	56.5	29.5	4.24
2014-04-02_03	54.5	25.5	0.65
2014-04-02_04	53	23.5	0.65
2014-04-02_05	33.5	39	2.93
2014-04-02_06	11.5	59.5	12.07
2014-04-02_07	15	54	23.80
2014-04-02_08	26	42	20.54
2014-04-02_09	48.5	22	7.50
2014-04-02_10	57	16	4.89
2014-04-02_11	60	16	4.57
2014-04-02_12	66	13.5	3.26
2014-04-02_13	67.5	15.5	3.26
2014-04-02_14	73.5	15	2.28
2014-04-02_15	75.5	15	1.63
2014-04-02_16	72	19.5	2.28
2014-04-02_17	65.5	25	1.63
2014-04-02_18	53	37	2.28
2014-04-02_19	41	46.5	2.61
2014-04-02_20	35	50	2.61
2014-04-02_21	43.5	38	1.96
2014-04-02_22	51	28	0.98
2014-04-02_23	57	19.5	0.33
2014-04-03_00	61.5	14	0.33
2014-04-03_01	63.5	13.5	0.33
2014-04-03_02	63.5	16.5	1.63
2014-04-03_03	70.5	10.5	0.00
2014-04-03_04	59	19	0.33
2014-04-03_05	44	34.5	3.26
2014-04-03_06	42	39.5	4.24
2014-04-03_07	34.5	48	8.15
2014-04-03_08	46	36.5	8.80
2014-04-03_09	62	24	4.57
2014-04-03_10	75	15.5	2.28
2014-04-03_11	75.5	14	2.28
2014-04-03_12	78.5	12	1.30
2014-04-03_13	79.5	12.5	1.30
2014-04-03_14	80	12.5	1.63
2014-04-03_15	79.5	14.5	1.30
2014-04-03_16	68	26	2.28
2014-04-03_17	53	40	2.28
2014-04-03_18	45.5	47	4.24
2014-04-03_19	31	59.5	1.96
2014-04-03_20	20.5	67	2.93
2014-04-03_21	12	69.5	8.15
2014-04-03_22	11.5	63	12.39
2014-04-03_23	9.5	60	8.48
2014-04-04_00	7.5	56	3.59
2014-04-04_01	14.5	43	1.96
2014-04-04_02	18	40	4.24
2014-04-04_03	31	24.5	1.96
2014-04-04_04	46.5	22.5	0.98
2014-04-04_05	29.5	40.5	1.96
2014-04-04_06	18.5	49.5	4.57
2014-04-04_07	20.5	52	6.52
2014-04-04_08	24	51	10.11
2014-04-04_09	37	37.5	4.24
2014-04-04_10	42	28	3.91
2014-04-04_11	54	22	3.91
2014-04-04_12	58.5	18.75	3.10
2014-04-04_13	63	15.5	2.28
2014-04-04_14	57	22	1.96
2014-04-04_15	51	28.5	2.28
2014-04-04_16	46.5	34	1.96
2014-04-04_17	45	35	1.96
2014-04-04_18	39	40.5	1.63
2014-04-04_19	51.5	27.5	0.98
2014-04-04_20	45	34	1.96
2014-04-04_21	22.5	54	3.26
2014-04-04_22	16.5	59.5	2.61
2014-04-04_23	5	72	11.41
2014-04-05_00	4.5	69	11.09
2014-04-05_01	2	73.5	32.93
2014-04-05_02	2	74	31.96
2014-04-05_03	1.5	69.5	32.28
2014-04-05_04	1.5	66	24.13
2014-04-05_05	1.5	63.5	39.13
2014-04-05_06	2.5	56.5	47.28
2014-04-05_07	5.5	51	67.17
2014-04-05_08	11	51	71.74
2014-04-05_09	26	48.5	34.57
2014-04-05_10	57	26.5	9.46
